ident,type,name,latitude_deg,longitude_deg,iso_country,municipality,longest_runway_ft,Amiri,A319_Amiri
HADR,medium_airport,Aba Tenna Dejazmach Yilma International Airport,9.624699592590332,41.85419845581055,ET,Dire Dawa,8791.0,0,0
HAGM,medium_airport,Gambela Airport,8.12876,34.563099,ET,Gambela,8248.0,0,0
HAGN,medium_airport,Gondar Airport,12.5199,37.433998,ET,Azezo,9072.0,0,0
HAGO,medium_airport,Gode Airport,5.93513011932,43.5786018372,ET,Gode,7505.0,0,0
HAHM,medium_airport,Harar Meda Airport,8.7163,39.0059,ET,Debre Zeyit,5940.0,0,0
HAJJ,medium_airport,Wilwal International Airport,9.3325,42.9121,ET,Jijiga,8202.0,0,0
HAJM,medium_airport,Jimma Airport,7.66609001159668,36.81660079956055,ET,Jimma,6562.0,0,0
HAKD,medium_airport,Kebri Dahar Airport,6.732577,44.241339,ET,Kebri Dahar,8202.0,0,0
HALA,medium_airport,Hawassa International Airport,7.099869,38.396187,ET,Hawassa,9843.0,0,0
HAMK,medium_airport,Alula Aba Nega Airport,13.4674,39.533501,ET,Mekele,11825.0,0,0
HASO,medium_airport,Asosa Airport,10.018500328063965,34.586299896240234,ET,Asosa,8218.0,0,0
HBBA,medium_airport,Bujumbura Melchior Ndadaye International Airport,-3.32402,29.318501,BI,Bujumbura,11811.0,0,0
